Loss Function,Test Loss,Test MAE,I_trapez - I_pred,I_ref - I_pred,I_ref - I_trapez
MeanSquaredError,0.0028666616417467594,0.030576352030038834,0.006244085646465259,0.0062432915100719645,7.941363932943701e-07
Huber,0.001559457741677761,0.033569131046533585,0.007853043864028079,0.007853838000421373,7.941363932943701e-07
LogCosh,0.0014973036013543606,0.032017435878515244,0.008115586867411831,0.008114792731018537,7.941363932943701e-07
MeanAbsoluteError,0.08847711980342865,0.08847711980342865,0.013054289701140349,0.013053495564747055,7.941363932943701e-07
MeanSquaredError,0.0025540392380207777,0.026877548545598984,0.00019835029865362432,0.00019755616226032995,7.941363932943701e-07
Huber,0.0013770241057500243,0.02981388010084629,0.0012750089740922853,0.001274214837698991,7.941363932943701e-07
LogCosh,0.0015152052510529757,0.03277871385216713,0.002386105555860961,0.0023853114194676665,7.941363932943701e-07
MeanAbsoluteError,0.08851319551467896,0.08851319551467896,0.012579629732633532,0.012578835596240238,7.941363932943701e-07
Huber,0.0014834863832220435,0.03110349550843239,0.007540463670700666,0.0075396695343073715,7.941363932943701e-07
MeanSquaredError,0.0026722170878201723,0.029163487255573273,0.009963245483409482,0.009964039619802776,7.941363932943701e-07
LogCosh,0.0012828168692067266,0.02869173139333725,0.010247911765566824,0.010248705901960118,7.941363932943701e-07
MeanAbsoluteError,0.08857760578393936,0.08857760578393936,0.013179275197580116,0.013178481061186822,7.941363932943701e-07
Huber,0.0012971175601705909,0.028342705219984055,0.0003997165346715688,0.0003989223982782744,7.941363932943701e-07
MeanSquaredError,0.002768718171864748,0.029623527079820633,0.006276947370189402,0.006276153233796108,7.941363932943701e-07
LogCosh,0.0012528286315500736,0.026836616918444633,0.011293809739975418,0.011293015603582124,7.941363932943701e-07
MeanAbsoluteError,0.0883050411939621,0.0883050411939621,0.01487532550491409,0.014874531368520795,7.941363932943701e-07
LogCosh,0.0014015021733939648,0.030248630791902542,0.00629591593396794,0.006296710070361235,7.941363932943701e-07
Huber,0.0013749974314123392,0.029829829931259155,0.006855110193554484,0.00685431605716119,7.941363932943701e-07
MeanSquaredError,0.0027627774979919195,0.030416032299399376,0.008662550794980711,0.008661756658587417,7.941363932943701e-07
MeanAbsoluteError,0.0883600115776062,0.0883600115776062,0.013991066485587619,0.013990272349194324,7.941363932943701e-07
LogCosh,0.0015277651837095618,0.033699095249176025,0.0011331095737447013,0.0011323154373514069,7.941363932943701e-07
Huber,0.0013826231006532907,0.0295772235840559,0.007369992366884834,0.007370786503278128,7.941363932943701e-07
MeanSquaredError,0.0028502398636192083,0.03055538795888424,0.008937111102449788,0.008936316966056493,7.941363932943701e-07
MeanAbsoluteError,0.08861855417490005,0.08861855417490005,0.012502378927151277,0.012501584790757983,7.941363932943701e-07
Huber,0.001925488468259573,0.03936220332980156,0.006901939813269739,0.006902733949663033,7.941363932943701e-07
LogCosh,0.0013732437510043383,0.0295097753405571,0.010120317202489543,0.010119523066096248,7.941363932943701e-07
MeanSquaredError,0.002861306071281433,0.031339723616838455,0.012197886487069801,0.012197092350676507,7.941363932943701e-07
MeanAbsoluteError,0.08844462782144547,0.08844462782144547,0.01278012110086601,0.012779326964472716,7.941363932943701e-07
